"sensor_code","utc_date","utc_time","latitude","longitude","height","hdop","vdop","fix","acquisition_time"
"CJ11","2019-01-22","03:02:02",26.0723138888889,-80.2792944444444,-3,1.1,1.5,"3D","2019-01-22 03:02:02"
"CJ11","2019-01-22","04:02:04",26.0692888888889,-80.2790722222222,NA,1.2,3.2,"3D","2019-01-22 04:02:04"
"CJ11","2019-01-22","05:02:30",26.0698638888889,-80.2795166666667,-30,4,4.3,"3D","2019-01-22 05:02:30"
"CJ11","2019-01-22","06:02:10",26.0703472222222,-80.2785055555556,-8,2.3,3.9,"3D","2019-01-22 06:02:10"
"CJ11","2019-01-22","07:02:08",26.0737305555556,-80.2788861111111,-5,3.5,3.1,"3D","2019-01-22 07:02:08"
"CJ11","2019-01-22","08:02:30",26.0735333333333,-80.2793361111111,1,2.9,2.3,"3D","2019-01-22 08:02:30"
"CJ11","2019-01-22","17:02:30",NA,NA,NA,0,0,"NO","2019-01-22 17:02:30"
"CJ11","2019-01-22","18:02:30",NA,NA,NA,0,0,"NO","2019-01-22 18:02:30"
"CJ11","2019-01-22","19:02:07",26.0714361111111,-80.2789888888889,7,3.1,3.2,"2D","2019-01-22 19:02:07"
"CJ11","2019-01-22","20:02:30",26.0718611111111,-80.2775138888889,7,7.3,3.2,"2D","2019-01-22 20:02:30"
"CJ11","2019-01-22","21:02:30",26.0717527777778,-80.2789222222222,-14,2.8,6.2,"3D","2019-01-22 21:02:30"
"CJ11","2019-01-22","22:02:05",26.0742055555556,-80.2780638888889,1,4.2,3.5,"3D","2019-01-22 22:02:05"
"CJ11","2019-01-22","23:02:05",26.0738472222222,-80.2790361111111,-2,2,3.4,"3D","2019-01-22 23:02:05"
"CJ11","2019-01-23","00:02:26",26.0756527777778,-80.2799861111111,7,4.1,3.2,"2D","2019-01-23 00:02:26"
"CJ11","2019-01-23","01:02:06",26.0740805555556,-80.2779111111111,64,2.7,7,"3D","2019-01-23 01:02:06"
"CJ11","2019-01-23","02:02:10",26.0713555555556,-80.2799194444444,8,2.1,7.6,"3D","2019-01-23 02:02:10"
"CJ11","2019-01-23","03:02:30",NA,NA,NA,0,0,"NO","2019-01-23 03:02:30"
"CJ11","2019-01-23","04:02:30",NA,NA,NA,0,0,"NO","2019-01-23 04:02:30"
"CJ11","2019-01-23","05:02:10",26.0703305555556,-80.2785777777778,12,1.6,3.2,"3D","2019-01-23 05:02:10"
"CJ11","2019-01-23","06:02:04",26.0697416666667,-80.2781722222222,8,1.5,2.3,"3D","2019-01-23 06:02:04"
"CJ11","2019-01-23","07:02:10",26.0698555555556,-80.2781611111111,2,2,3,"3D","2019-01-23 07:02:10"
"CJ11","2019-01-23","08:02:12",26.0702611111111,-80.2785472222222,11,2.1,2.9,"3D","2019-01-23 08:02:12"
"CJ11","2019-01-23","17:02:30",NA,NA,NA,0,0,"NO","2019-01-23 17:02:30"
"CJ11","2019-01-23","18:02:30",NA,NA,NA,0,0,"NO","2019-01-23 18:02:30"
"CJ11","2019-01-23","19:02:30",NA,NA,NA,0,0,"NO","2019-01-23 19:02:30"
"CJ11","2019-01-23","20:02:30",NA,NA,NA,0,0,"NO","2019-01-23 20:02:30"
"CJ11","2019-01-23","21:02:04",26.0702888888889,-80.2787444444444,25,1.3,1.6,"3D","2019-01-23 21:02:04"
"CJ11","2019-01-23","22:02:05",26.0721777777778,-80.2782083333333,NA,0.9,1.4,"3D","2019-01-23 22:02:05"
"CJ11","2019-01-23","23:02:11",26.0756,-80.27975,6,1.4,2,"3D","2019-01-23 23:02:11"
"CJ11","2019-01-24","00:02:04",26.0712805555556,-80.2795805555556,11,1.8,2.2,"3D","2019-01-24 00:02:04"
"CJ11","2019-01-24","01:02:30",26.0701638888889,-80.2787611111111,10,8,3.2,"2D","2019-01-24 01:02:30"
"CJ11","2019-01-24","02:02:30",26.0704027777778,-80.2784527777778,19,2.2,3,"3D","2019-01-24 02:02:30"
"CJ11","2019-01-24","03:02:06",26.0707666666667,-80.2767944444444,-4,1.4,2.7,"3D","2019-01-24 03:02:06"
"CJ11","2019-01-24","04:02:19",26.0692638888889,-80.2768222222222,16,3.2,6.3,"3D","2019-01-24 04:02:19"
"CJ11","2019-01-24","05:02:30",NA,NA,NA,0,0,"NO","2019-01-24 05:02:30"
"CJ11","2019-01-24","06:02:30",26.0757472222222,-80.281,877,8.6,3.2,"2D","2019-01-24 06:02:30"
"CJ11","2019-01-24","07:02:30",NA,NA,NA,0,0,"NO","2019-01-24 07:02:30"
"CJ11","2019-01-24","08:02:30",26.0709222222222,-80.2785527777778,14,2.1,2.6,"3D","2019-01-24 08:02:30"
"CJ11","2019-01-24","17:02:30",NA,NA,NA,0,0,"NO","2019-01-24 17:02:30"
"CJ11","2019-01-24","18:02:30",NA,NA,NA,0,0,"NO","2019-01-24 18:02:30"
"CJ11","2019-01-24","19:02:30",NA,NA,NA,0,0,"NO","2019-01-24 19:02:30"
"CJ11","2019-01-24","21:02:30",26.0716055555556,-80.2791944444444,4,1.5,1.9,"3D","2019-01-24 21:02:30"
"CJ11","2019-01-24","22:02:05",26.0705527777778,-80.2785833333333,2,2.5,7,"3D","2019-01-24 22:02:05"
"CJ11","2019-01-24","23:02:30",NA,NA,NA,0,0,"NO","2019-01-24 23:02:30"
"CJ11","2019-01-25","00:02:30",NA,NA,NA,0,0,"NO","2019-01-25 00:02:30"
"CJ11","2019-01-25","01:02:30",NA,NA,NA,0,0,"NO","2019-01-25 01:02:30"
"CJ11","2019-01-25","02:02:30",26.0700527777778,-80.2783722222222,7,9.9,3.2,"2D","2019-01-25 02:02:30"
"CJ11","2019-01-25","03:02:12",26.07045,-80.2784305555556,20,3.3,4.1,"3D","2019-01-25 03:02:12"
"CJ11","2019-01-25","04:02:05",26.0721416666667,-80.2791805555556,1,1,2.1,"3D","2019-01-25 04:02:05"
"CJ11","2019-01-25","05:02:06",26.0756833333333,-80.279025,6,1.2,1.5,"3D","2019-01-25 05:02:06"
"CJ11","2019-01-25","06:02:02",26.0702972222222,-80.2785388888889,5,3.2,5,"3D","2019-01-25 06:02:02"
"CJ11","2019-01-25","07:02:06",26.0704111111111,-80.2785861111111,11,1.3,2,"3D","2019-01-25 07:02:06"
"CJ11","2019-01-25","08:02:04",26.0704305555556,-80.27855,21,1.9,2,"3D","2019-01-25 08:02:04"
"CJ11","2019-01-25","17:02:30",NA,NA,NA,0,0,"NO","2019-01-25 17:02:30"
"CJ11","2019-01-25","18:02:30",26.0711861111111,-80.2779861111111,21,9.9,3.2,"2D","2019-01-25 18:02:30"
"CJ11","2019-01-25","19:02:26",26.0699305555556,-80.2799194444444,NA,3.1,5.7,"3D","2019-01-25 19:02:26"
"CJ11","2019-01-25","20:02:10",26.0720222222222,-80.2793972222222,NA,4,5.7,"3D","2019-01-25 20:02:10"
"CJ11","2019-01-25","21:02:09",26.0743861111111,-80.2780194444444,16,1.9,5.1,"3D","2019-01-25 21:02:09"
"CJ11","2019-01-25","22:02:06",26.0713527777778,-80.2785694444444,-5,2.8,5.9,"3D","2019-01-25 22:02:06"
"CJ11","2019-01-25","23:02:30",NA,NA,NA,0,0,"NO","2019-01-25 23:02:30"
"CJ11","2019-01-26","00:02:30",26.0717972222222,-80.2789805555555,3,2.9,3.2,"3D","2019-01-26 00:02:30"
"CJ11","2019-01-26","01:02:04",26.0680944444444,-80.2798138888889,21,2.6,2.9,"3D","2019-01-26 01:02:04"
"CJ11","2019-01-26","02:02:07",26.0687833333333,-80.2790527777778,15,2.6,3.1,"3D","2019-01-26 02:02:07"
"CJ11","2019-01-26","03:02:30",26.0709055555556,-80.2787888888889,-9,3.4,4.5,"3D","2019-01-26 03:02:30"
"CJ11","2019-01-26","04:02:07",26.0694055555556,-80.2792916666667,7,3.6,3.2,"2D","2019-01-26 04:02:07"
"CJ11","2019-01-26","05:02:30",NA,NA,NA,0,0,"NO","2019-01-26 05:02:30"
"CJ11","2019-01-26","06:02:30",NA,NA,NA,0,0,"NO","2019-01-26 06:02:30"
"CJ11","2019-01-26","07:02:30",NA,NA,NA,0,0,"NO","2019-01-26 07:02:30"
"CJ11","2019-01-26","08:02:30",NA,NA,NA,0,0,"NO","2019-01-26 08:02:30"
"CJ11","2019-01-26","17:02:30",NA,NA,NA,0,0,"NO","2019-01-26 17:02:30"
"CJ11","2019-01-26","18:02:30",NA,NA,NA,0,0,"NO","2019-01-26 18:02:30"
"CJ11","2019-01-26","19:02:30",26.0723583333333,-80.2793555555556,NA,1.1,1.4,"3D","2019-01-26 19:02:30"
"CJ11","2019-01-26","20:02:07",26.0742888888889,-80.2780555555556,6,1.3,1.6,"3D","2019-01-26 20:02:07"
"CJ11","2019-01-26","21:02:09",26.0742111111111,-80.2779083333333,3,1.6,5.1,"3D","2019-01-26 21:02:09"
"CJ11","2019-01-26","22:02:08",26.0742055555556,-80.2779027777778,8,2,3.2,"3D","2019-01-26 22:02:08"
"CJ11","2019-01-26","23:02:30",NA,NA,NA,0,0,"NO","2019-01-26 23:02:30"
"CJ11","2019-01-27","00:02:30",NA,NA,NA,0,0,"NO","2019-01-27 00:02:30"
"CJ11","2019-01-27","01:02:30",26.0736138888889,-80.2791527777778,-13,3,4.9,"3D","2019-01-27 01:02:30"
"CJ11","2019-01-27","02:02:02",26.072675,-80.2797305555556,-7,1.5,3.3,"3D","2019-01-27 02:02:02"
"CJ11","2019-01-27","03:02:02",26.0724833333333,-80.2794916666667,1,1.3,2.1,"3D","2019-01-27 03:02:02"
"CJ11","2019-01-27","04:02:06",26.0715666666667,-80.2787444444444,NA,1.1,2.3,"3D","2019-01-27 04:02:06"
"CJ11","2019-01-27","05:02:30",NA,NA,NA,0,0,"NO","2019-01-27 05:02:30"
"CJ11","2019-01-27","06:02:30",NA,NA,NA,0,0,"NO","2019-01-27 06:02:30"
"CJ11","2019-01-27","07:02:30",NA,NA,NA,0,0,"NO","2019-01-27 07:02:30"
"CJ11","2019-01-27","08:02:30",NA,NA,NA,0,0,"NO","2019-01-27 08:02:30"
"CJ11","2019-01-27","17:02:30",NA,NA,NA,0,0,"NO","2019-01-27 17:02:30"
"CJ11","2019-01-27","18:02:30",NA,NA,NA,0,0,"NO","2019-01-27 18:02:30"
"CJ11","2019-01-27","19:02:30",NA,NA,NA,0,0,"NO","2019-01-27 19:02:30"
"CJ11","2019-01-27","20:02:30",NA,NA,NA,0,0,"NO","2019-01-27 20:02:30"
"CJ11","2019-01-27","21:02:30",NA,NA,NA,0,0,"NO","2019-01-27 21:02:30"
"CJ11","2019-01-27","22:02:30",NA,NA,NA,0,0,"NO","2019-01-27 22:02:30"
"CJ11","2019-01-27","23:02:30",NA,NA,NA,0,0,"NO","2019-01-27 23:02:30"
"CJ11","2019-01-28","00:02:30",NA,NA,NA,0,0,"NO","2019-01-28 00:02:30"
"CJ11","2019-01-28","01:02:30",NA,NA,NA,0,0,"NO","2019-01-28 01:02:30"
"CJ11","2019-01-28","02:02:30",26.0722,-80.2793777777778,-4,1.9,3.8,"3D","2019-01-28 02:02:30"
"CJ11","2019-01-28","03:02:06",26.0725638888889,-80.2796055555556,-2,1,1.4,"3D","2019-01-28 03:02:06"
"CJ11","2019-01-28","04:02:09",26.0742888888889,-80.2780027777778,13,2.1,6,"3D","2019-01-28 04:02:09"
"CJ11","2019-01-28","05:02:09",26.0714166666667,-80.2786777777778,4,3.4,4.1,"3D","2019-01-28 05:02:09"
"CJ11","2019-01-28","06:02:30",NA,NA,NA,0,0,"NO","2019-01-28 06:02:30"
"CJ11","2019-01-28","07:02:30",NA,NA,NA,0,0,"NO","2019-01-28 07:02:30"
"CJ11","2019-01-28","08:02:30",NA,NA,NA,0,0,"NO","2019-01-28 08:02:30"
"CJ11","2019-01-28","17:02:30",26.0741083333333,-80.2795777777778,1073,3.5,3.2,"2D","2019-01-28 17:02:30"
"CJ11","2019-01-28","18:02:07",26.0707861111111,-80.2787944444444,-5,1.3,3,"3D","2019-01-28 18:02:07"
"CJ11","2019-01-28","19:02:02",26.0743777777778,-80.27795,NA,1,1.7,"3D","2019-01-28 19:02:02"
"CJ11","2019-01-28","20:02:02",26.0743805555556,-80.2779638888889,5,1.7,1.7,"3D","2019-01-28 20:02:02"
"CJ11","2019-01-28","21:02:19",26.0750444444444,-80.2783555555555,4,2.8,3.4,"3D","2019-01-28 21:02:19"
"CJ11","2019-01-28","22:02:30",26.0747361111111,-80.2773694444444,7,6.6,3.2,"2D","2019-01-28 22:02:30"
"CJ11","2019-01-28","23:02:30",26.0749888888889,-80.2782222222222,NA,2.5,2.8,"3D","2019-01-28 23:02:30"
"CJ11","2019-01-29","00:02:24",26.0749861111111,-80.2783111111111,-11,2.5,3.8,"3D","2019-01-29 00:02:24"
"CJ11","2019-01-29","01:02:16",26.0737527777778,-80.2776333333333,8,1.9,3.2,"3D","2019-01-29 01:02:16"
"CJ11","2019-01-29","02:02:30",NA,NA,NA,0,0,"NO","2019-01-29 02:02:30"
"CJ11","2019-01-29","03:02:30",NA,NA,NA,0,0,"NO","2019-01-29 03:02:30"
"CJ11","2019-01-29","04:02:30",NA,NA,NA,0,0,"NO","2019-01-29 04:02:30"
"CJ11","2019-01-29","05:02:30",26.0717944444444,-80.2786694444444,NA,2.6,3.4,"3D","2019-01-29 05:02:30"
"CJ11","2019-01-29","06:02:06",26.0717305555556,-80.2786944444444,1,1.2,2,"3D","2019-01-29 06:02:06"
"CJ11","2019-01-29","07:02:09",26.0708138888889,-80.2784444444444,9,1.6,2.8,"3D","2019-01-29 07:02:09"
"CJ11","2019-01-29","08:02:30",NA,NA,NA,0,0,"NO","2019-01-29 08:02:30"
"CJ11","2019-01-29","17:02:30",26.0705027777778,-80.2785055555556,-4,2.6,3.1,"3D","2019-01-29 17:02:30"
"CJ11","2019-01-29","18:02:14",26.0705027777778,-80.2785055555556,5,1.6,2.5,"3D","2019-01-29 18:02:14"
"CJ11","2019-01-29","19:02:09",26.0707333333333,-80.2785277777778,-1,1.4,1.6,"3D","2019-01-29 19:02:09"
"CJ11","2019-01-29","20:02:15",26.0743638888889,-80.2780611111111,4,4.8,1.6,"3D","2019-01-29 20:02:15"
"CJ11","2019-01-29","21:02:30",26.0728888888889,-80.2791472222222,-3,1.3,1.5,"3D","2019-01-29 21:02:30"
"CJ11","2019-01-29","22:02:03",26.0727944444444,-80.2790166666667,NA,1.2,2.2,"3D","2019-01-29 22:02:03"
"CJ11","2019-01-29","23:02:03",26.0729583333333,-80.2790361111111,-2,1,1.3,"3D","2019-01-29 23:02:03"
